split_seed,method,num_queries,mrr,recall@1,recall@3,recall@5
13,type_aware,552,0.5853285374182874,0.48188405797101447,0.6413043478260869,0.7010869565217391
13,validation_tuned_intent_router,552,0.5838702191529913,0.48007246376811596,0.6394927536231884,0.6992753623188406
13,oracle_best_method,552,0.6668558202333633,0.5778985507246377,0.7137681159420289,0.7626811594202898
17,type_aware,552,0.5965495069985075,0.4891304347826087,0.657608695652174,0.7318840579710145
17,validation_tuned_intent_router,552,0.5965495069985075,0.4891304347826087,0.657608695652174,0.7318840579710145
17,oracle_best_method,552,0.6845717070280565,0.5887681159420289,0.7554347826086957,0.7934782608695652
23,type_aware,552,0.6464330194203709,0.5452898550724637,0.7119565217391305,0.7753623188405797
23,validation_tuned_intent_router,552,0.6435945646901253,0.5416666666666666,0.7101449275362319,0.7735507246376812
23,oracle_best_method,552,0.7253328948148496,0.6376811594202898,0.7971014492753623,0.8242753623188406
29,type_aware,552,0.5968645448770465,0.483695652173913,0.6612318840579711,0.7246376811594203
29,validation_tuned_intent_router,552,0.5968645448770465,0.483695652173913,0.6612318840579711,0.7246376811594203
29,oracle_best_method,552,0.688433280385543,0.5996376811594203,0.7391304347826086,0.7844202898550725
31,type_aware,552,0.6083700460422611,0.4945652173913043,0.6757246376811594,0.7336956521739131
31,validation_tuned_intent_router,552,0.606878348957045,0.4927536231884058,0.6757246376811594,0.7336956521739131
31,oracle_best_method,552,0.7009514699385376,0.5978260869565217,0.7735507246376812,0.8278985507246377
