group,label,value,count,total,share,kappa
overview,samples,total,80,80,1.0,
overview,both_labeled,complete_a_b,0,80,0.0,
overview,adjudicated,complete_adjudication,0,80,0.0,
overview,validation_errors,invalid_labels,0,80,0.0,
inter_annotator,auto_reason_correct,exact,0,0,0.0,
inter_annotator,auto_reason_correct,partial_credit,0.0,0,0.0,
inter_annotator,auto_reason_correct,conflict,0,0,0.0,
inter_annotator,top_memory_relevant,exact,0,0,0.0,
inter_annotator,top_memory_relevant,partial_credit,0.0,0,0.0,
inter_annotator,top_memory_relevant,conflict,0,0,0.0,
inter_annotator,gold_memory_sufficient,exact,0,0,0.0,
inter_annotator,gold_memory_sufficient,partial_credit,0.0,0,0.0,
inter_annotator,gold_memory_sufficient,conflict,0,0,0.0,
