label,path,exists,size_bytes,line_count,sha256,checksum_status
Main baseline CSV,outputs/agent_memory_baseline_comparison_locomo10.csv,True,1146,11,c5873d9692feed74e183156758205efb64ae123858f9cef824990986e4ebf927,ok
Dataset slice profile report,outputs/agent_memory_dataset_slice_profile_zh.md,True,4014,147,4500c65035b739048724024da38be527c54bd64c60282a170e65dda2ff8a07b2,ok
Dataset slice profile summary,outputs/agent_memory_dataset_slice_profile_summary.csv,True,1545,4,a2362567383340c67daff93a656f9dc2a43589ffcff0a9ade23353e14530876c,ok
Dataset slice profile distribution,outputs/agent_memory_dataset_slice_profile_distribution.csv,True,15966,239,46d05f75acf5102b9314b62b32c29e6356ca4d2f8a3dfabd466ab7a46cd70d00,ok
LLM extraction report,outputs/agent_memory_llm_extraction_locomo10_comparison_zh.md,True,3431,47,098898236878f207c56315905ac3dd6c1c4b77a2abf99d19a4c1df9e9453e0cb,ok
Writer stability report,outputs/agent_memory_writer_stability_zh.md,True,1780,36,9ab6d5462083be551102efd1b5f8233c26c8cb7a10c348bcf82bd2fb4cbd0cf9,ok
Writer stability aggregate,outputs/agent_memory_writer_stability_aggregate.csv,True,967,11,a00fb4e1379cb7c6aeca17ffde5484ef18602cda53e4344f13f3f8dd4799aeff,ok
Writer stability runs,outputs/agent_memory_writer_stability_runs.csv,True,924,4,13c91b80d653a472e4cc05bfb1d43bbb96f39f464e043fbd31e971baa7fdb2ae,ok
Time-aware error analysis report,outputs/agent_memory_error_analysis_locomo10_time_aware_zh.md,True,2493,51,d582a9bfa7dac8c8f1ea5d6e5e551147acd4e2fbc1d7cbad77cf48a1d751680c,ok
Time-aware error analysis CSV,outputs/agent_memory_error_analysis_locomo10_time_aware.csv,True,308368,921,410ad453db4826faead85e973f1604ecea6728c6db8597b156e58c91685c540d,ok
Time-aware error analysis summary,outputs/agent_memory_error_analysis_locomo10_time_aware_summary.csv,True,14604,184,9a92725ce374d1ad8df2ec6c8cc81e6fd83eeb428ccb2c05730bf5b58935ee4e,ok
Type-aware error analysis report,outputs/agent_memory_error_analysis_locomo10_type_aware_zh.md,True,4359,107,4f2767ffde755baa4bdab04adb753b9ace8d509a2ac1fe49d9f87468ae211013,ok
Type-aware error analysis CSV,outputs/agent_memory_error_analysis_locomo10_type_aware.csv,True,305669,914,22c2beda4da28c2541c28e01680fd5aa2766e7b6810aa543fae64f04deec9a8b,ok
Type-aware error analysis summary,outputs/agent_memory_error_analysis_locomo10_type_aware_summary.csv,True,14594,184,3ed423a7b62d7ab5545b1994a871368e4d4d8c82467e37a4ded4afd5e41a7a16,ok
Candidate reranker report,outputs/agent_memory_candidate_reranker_locomo10_zh.md,True,2019,53,47c06dda556d488bbb8834867bb38ef3382522d0a19cbffaffe92b398f2ecc21,ok
Candidate reranker significance,outputs/agent_memory_candidate_reranker_significance_zh.md,True,607,8,3d53a2fea54f9f2cef89a55fe5a06ec07febab5287f63838d048579b9e5afc98,ok
Candidate reranker feature ablation report,outputs/agent_memory_candidate_reranker_feature_ablation_zh.md,True,3225,52,26995f86ad2b6046e5bd0b1c38ceb0c26c5e9d51f6659241355f6e0812a22a43,ok
Candidate reranker feature ablation summary,outputs/agent_memory_candidate_reranker_feature_ablation_summary.csv,True,2034,11,b9331061399ff573f2cf3feeb5ce0a003b575d42bd70ff0d99016732c0288bec,ok
Candidate reranker feature ablation split summary,outputs/agent_memory_candidate_reranker_feature_ablation_split_summary.csv,True,5458,51,36853fd8c0fac96e6e645b894c75396d11aad221caf230d37367e2516c98fcb7,ok
Candidate reranker feature ablation deltas,outputs/agent_memory_candidate_reranker_feature_ablation_deltas.csv,True,1407,10,51b2e15e43b64049d58d10e72dbae55575897513b7cba2e3f0578eb465a3523a,ok
Candidate reranker feature ablation comparison,outputs/agent_memory_candidate_reranker_feature_ablation_comparison_per_query.csv,True,1724236,24841,de37c8ae840fc6a165c61a1a299dd0eee690305d3c1eba5c5f2e3204a44960a5,ok
Candidate reranker paired effect-size report,outputs/agent_memory_candidate_reranker_paired_effect_size_zh.md,True,1912,35,8db941101e8a8c4adb48d6e30df70a62466107aa0cf34a5949ca7414e847f1f6,ok
Candidate reranker paired effect-size CSV,outputs/agent_memory_candidate_reranker_paired_effect_size.csv,True,6383,25,35a35c2968dcd094f323a651d6dd7daca4e593c6029647668b2d6521913989b2,ok
Candidate reranker statistical power report,outputs/agent_memory_candidate_reranker_statistical_power_zh.md,True,3581,75,f5344c9ec805417555229d2eeca6bc2b90c627722e5d0f98168696ceb96f9cf4,ok
Candidate reranker statistical power CSV,outputs/agent_memory_candidate_reranker_statistical_power.csv,True,4128,25,8d4738dae4dfd231298507ff41c4ca2b7e3d29fcf4bc51469b2c42bdf1e2aa30,ok
Paper case study pack,outputs/agent_memory_paper_case_study_pack_zh.md,True,8632,101,f9c0247d28aae5b1d551be3d1777104b81304ac93a18fc18b34466f1e03804e3,ok
Paper case study pack CSV,outputs/agent_memory_paper_case_study_pack.csv,True,5466,10,4a2c5214bc6a51fa49d95ce94253a59dafdf04e7d5812c8b22f469a61fd8af39,ok
Candidate reranker seed stability report,outputs/agent_memory_candidate_reranker_seed_stability_zh.md,True,2058,38,b8e8ecc22ba8caef26b88c6012943913fd56162820cacd2ef7a0a1d532a11eb1,ok
Candidate reranker seed stability summary,outputs/agent_memory_candidate_reranker_seed_stability_summary.csv,True,682,4,a5a2589cb0753cc93adf3618aa4fafd284ca49a762aadc1affe8cf16bec122de,ok
Candidate reranker seed stability deltas,outputs/agent_memory_candidate_reranker_seed_stability.csv,True,612,3,db25ff72961bfe271bd310e155db05cc3d213321e5a47a6ee22afe61e358d8e2,ok
Candidate reranker seed stability split summary,outputs/agent_memory_candidate_reranker_seed_stability_split_summary.csv,True,6086,61,66789519edd118cf5dd7173d87ed336c00b0a2bfa215e628c662eeac32d6d91e,ok
Candidate reranker train-fraction sensitivity report,outputs/agent_memory_candidate_reranker_train_fraction_sensitivity_zh.md,True,2558,46,36acb7a58ab7eb9b34eaac3dea3259ebfa4b327cda40591590fd2f00cd6b49b6,ok
Candidate reranker train-fraction sensitivity summary,outputs/agent_memory_candidate_reranker_train_fraction_summary.csv,True,2399,13,1a3f77dc6eb7db2eedbcaac7768477d34bd64af67450215a4fabef89f9d37f56,ok
Candidate reranker train-fraction sensitivity deltas,outputs/agent_memory_candidate_reranker_train_fraction_sensitivity.csv,True,1835,9,a92362f039f4eb5cefb44ebf362210279bf82b413dd63dad58d20bb59afb8771,ok
Candidate reranker train-fraction sensitivity split summary,outputs/agent_memory_candidate_reranker_train_fraction_split_summary.csv,True,12588,121,5a4facb83f42a45f2455d9936d42f749eb6edf18785c1f41a9f0725ce3a0dfb7,ok
Candidate oracle gap analysis report,outputs/agent_memory_candidate_oracle_gap_analysis_zh.md,True,2509,33,9917876a092f437cbe6be8f8f44c42b836ed4d0ce295f252da721b7d4daec939,ok
Candidate oracle gap analysis CSV,outputs/agent_memory_candidate_oracle_gap_analysis.csv,True,3129,11,7e02d6d4f7bac41e47caea8feea7b16ed461f164e0d4ec20625b7d034ec14fce,ok
Bootstrap metric CI report,outputs/agent_memory_bootstrap_metric_ci_zh.md,True,6438,64,e469f8dec8793da0ccfb26f7b9400ee3ae0b0b14bd01357c907be58b57c6f68e,ok
Bootstrap metric CI CSV,outputs/agent_memory_bootstrap_metric_ci.csv,True,12250,33,c359779893242d4e92e00249a51a12c52d4f41676491337caacdec08a2ed5cf8,ok
Validation-tuned router comparison,outputs/agent_memory_validation_tuned_router_locomo10_comparison_per_query.csv,True,850159,5521,9964bc0e597328b32e8a77933928daa04d36bc1efd5cbea1b108d8b2995cf00e,ok
Candidate reranker LOCO report,outputs/agent_memory_candidate_reranker_loco_zh.md,True,3506,68,79e3f0650f029d6cb4876037b6e69d32bcd9836f23715da96dd7f2182124518b,ok
Candidate reranker LOCO summary,outputs/agent_memory_candidate_reranker_loco_summary.csv,True,684,4,282d33bb430379ad0664ca6e915bbd4eec43611cca7b770b063c50a2b2d01b94,ok
Candidate reranker LOCO significance,outputs/agent_memory_candidate_reranker_loco_significance_zh.md,True,627,8,2de97cf4cd43024104371d62b2cb67f2fa1f1f34514c3e9d7c34da965ee384cb,ok
Candidate reranker LOCO comparison,outputs/agent_memory_candidate_reranker_loco_comparison_per_query.csv,True,316655,3677,aab9dacd790021f78bb15dc6236b270f93f282bceb28ba4c641eac601c1d459e,ok
Intrinsic candidate reranker LOCO report,outputs/agent_memory_candidate_reranker_intrinsic_loco_zh.md,True,3683,70,839fb38db7e38534de88b05d71082ac8bb12092dcb700a827a38da8dbfc3d7b5,ok
Intrinsic candidate reranker LOCO summary,outputs/agent_memory_candidate_reranker_intrinsic_loco_summary.csv,True,685,4,c1e78afd3a40ba9ef2a07b1c5f6044c50d4b0c24610d97a127207e9b81671f81,ok
Intrinsic candidate reranker LOCO split summary,outputs/agent_memory_candidate_reranker_intrinsic_loco_split_summary.csv,True,3266,31,3105ffe446527cf8cd691673ebc65aac47c0596bf277c8700c24599086b7780e,ok
Intrinsic candidate reranker LOCO deltas,outputs/agent_memory_candidate_reranker_intrinsic_loco_deltas.csv,True,306,5,c312db6b9c4bcdd72475894d2254c40647dff7d2caa1ab77d84a0c11e57257da,ok
Intrinsic candidate reranker LOCO comparison,outputs/agent_memory_candidate_reranker_intrinsic_loco_comparison_per_query.csv,True,316457,3677,51bd5644caba09b21df4f8a95d0ba84c7accf40e5cda9af94bfe604aba59c13e,ok
Intrinsic reranker method appendix,outputs/agent_memory_intrinsic_reranker_method_appendix_zh.md,True,6999,97,8bba02f9cc3a79764d04aed52703aece12225defeaa24ac036fdc9def767fc0d,ok
Intrinsic reranker feature groups,outputs/agent_memory_intrinsic_reranker_feature_groups.csv,True,924,7,4791a16fdf47e0e3b0032736a08ff4a777d318586e6f14bcf38020ab3e5d0a11,ok
Type3 coverage significance,outputs/agent_memory_type3_coverage_significance_zh.md,True,2545,24,c8fb7374a144094516850c975d8c8adf482a59d687629d55e3bb3cbf8ef8ea7f,ok
Type3 query decomposition fusion4 report,outputs/agent_memory_type3_query_decomposition_fusion4_zh.md,True,5473,41,1e3b009e3d0d3a96ccd9a6d973d105cfc13de45f0564537540fe249dad8a529c,ok
Type3 query decomposition fusion4 summary,outputs/agent_memory_type3_query_decomposition_fusion4_summary.csv,True,1604,4,4f94bd0a0302d0d0d193a583b0f53e8dbb19d0e0b05ada008cf7cc70cac18fd9,ok
Type3 query decomposition fusion4 per-query,outputs/agent_memory_type3_query_decomposition_fusion4_per_query.csv,True,48687,259,b0f7e329cf1aa68c93d259045d8f4469e76c53d5ceeb0f39d3361533bd5a087b,ok
Type3 query decomposition fusion4 facets,outputs/agent_memory_type3_query_decomposition_fusion4_facets.csv,True,43337,87,6db83e2028a8f83d8a80214f515eeb603223c4586824af3dc083046acbd8aea3,ok
Type3 query decomposition fusion4 ranked top20,outputs/agent_memory_type3_query_decomposition_fusion4_ranked_top20.csv,True,529533,3441,aa104641f5ce7d44e60e319ce12fa9dc15a72228b3c118a1e5de2f12f58c0fec,ok
Type3 supervised selector rw0 report,outputs/agent_memory_type3_supervised_set_selector_rw0_zh.md,True,1936,38,968e6a1f0a13089fed2e1a4f96c737489742e4662a8bb3519958b3e6d0ab07d4,ok
Type3 supervised selector rw0 split summary,outputs/agent_memory_type3_supervised_set_selector_rw0_split_summary.csv,True,2563,26,dfcff8f9f42b6f30d2f5c2f6f270f89b179f7d6e9eb09142ce0c8cc76b318a3f,ok
Type3 supervised selector rw0 summary,outputs/agent_memory_type3_supervised_set_selector_rw0_summary.csv,True,1074,6,f51e26c630e1bdb309e32b858d8c711e998f659a54ef77416913dc51c426bbfa,ok
Type3 supervised selector rw0 coverage summary,outputs/agent_memory_type3_supervised_set_selector_rw0_coverage_summary.csv,True,2033,6,eca284298ff7e0e6b51dc1f2736c3becdaf4bccb050b7022016d090ef4ae036a,ok
Type3 supervised selector rw0 per-query,outputs/agent_memory_type3_supervised_set_selector_rw0_per_query.csv,True,39665,631,73462e512e5436848243508a694366e7db1c74845340059bcb840e5bf8adcbff,ok
Type3 supervised selector rw0 coverage,outputs/agent_memory_type3_supervised_set_selector_rw0_coverage.csv,True,66756,631,2756caf30ea0e050c278b4d534339aa05f5e505f99fd09fce55238ecfdd07325,ok
Type3 supervised selector rw0 comparison,outputs/agent_memory_type3_supervised_set_selector_rw0_comparison_per_query.csv,True,41035,631,dd57b18372d73a9692fc1795794bdc90b4af28c16744c88d3316c1b431b81ccc,ok
Type3 supervised selector rw0 ranked top20,outputs/agent_memory_type3_supervised_set_selector_rw0_ranked_top20.csv,True,727551,5041,1647c566f89719a8a48ed7219b28759901c8e595d90b857fcdc7f74d91790d83,ok
Type3 supervised selector rwn002 report,outputs/agent_memory_type3_supervised_set_selector_rwn002_zh.md,True,1938,38,3951d5e2c57455bba6310a84321adef72e3c8efecf81b36fe58c31b129b64c21,ok
Type3 supervised selector rwn002 split summary,outputs/agent_memory_type3_supervised_set_selector_rwn002_split_summary.csv,True,2547,26,8ef6ef993d3404cccf544f613cd97cb66500eb123ab40ed16cef72df23b212e8,ok
Type3 supervised selector rwn002 summary,outputs/agent_memory_type3_supervised_set_selector_rwn002_summary.csv,True,1073,6,a47f2196eb67f1fb02a81ab1c9add7fb602d3c3772733c63e2b256967338f296,ok
Type3 supervised selector rwn002 coverage summary,outputs/agent_memory_type3_supervised_set_selector_rwn002_coverage_summary.csv,True,2031,6,8e0ad02b1fa4fdb7b45c5bf1dda40dd62203dceff27e8756c4b6177b28ed1229,ok
Type3 supervised selector rwn002 per-query,outputs/agent_memory_type3_supervised_set_selector_rwn002_per_query.csv,True,39667,631,b01ac8bcd5cdc35fa96ad7763d104e1f9e35d9297f03905445e937c8e83dfb4d,ok
Type3 supervised selector rwn002 coverage,outputs/agent_memory_type3_supervised_set_selector_rwn002_coverage.csv,True,66755,631,00e053ab2545ef442eda98a1f609759fef87f7c1095eb7c9abd8f4efafddf6e6,ok
Type3 supervised selector rwn002 comparison,outputs/agent_memory_type3_supervised_set_selector_rwn002_comparison_per_query.csv,True,41037,631,15439b76b86599579daf66768acac13e7c74f0460ec49f98aa40af6fdb05b0d2,ok
Type3 supervised selector rwn002 ranked top20,outputs/agent_memory_type3_supervised_set_selector_rwn002_ranked_top20.csv,True,725694,5041,dc41431e087acc249e50b4ec6e7efe4231ea4e110d52b5991f6a8d2cf8b509ef,ok
Paper tables Markdown,outputs/agent_memory_paper_tables_zh.md,True,3724,97,858492c8a2dd54434aef41a01a0fb3a66070a6d52ed4eaefb2756f7eb57c0f5e,ok
Paper tables LaTeX,outputs/agent_memory_paper_tables.tex,True,5197,170,374a8b1897b8d36610ed45e72036b89bf87cffdee355f70eb57a10c942718330,ok
Paper table consistency audit,outputs/agent_memory_paper_table_consistency_zh.md,True,3343,36,6e594899f920a3548e2c54aee5065c4be28e00952b3049a233cb7c3f18b00435,ok
Paper table consistency audit CSV,outputs/agent_memory_paper_table_consistency.csv,True,3737,18,a380145d0c64b1a1249bd97199c342a49e0f06c590639b7de9501a9e848efcee,ok
Paper evidence matrix,outputs/agent_memory_paper_evidence_matrix_zh.md,True,7856,44,62702eecab6cde039240ce060e33e902cd6601f76e58b73d8ce9e7ebde073e3c,ok
Paper draft outline,outputs/agent_memory_paper_draft_outline_zh.md,True,7485,107,05eb0d33111d17bf609f91a329fe1aa090a0cff29550eefc55f680aa66694cff,ok
